Qid,Question,Cognitive Category,Knowledge Category,Knowledge Units
Q001,(a) Consider the following 'C' function named,Evaluate,Procedural,Software Project Management
,"            int compute __zed (int x, int y)",,,
,           {,,,
,                 while (x - y),,,
,             {,,,
,                 if (x > y) then,,,
,                   x=x-y;,,,
,                  else y = y-x ;,,,
,             },,,
,                  return x ;,,,
,           },,,
,Determine the cyclomatic complexity of the above problem and list different linearly independent paths using control flow graph.,,,
Q002,Compare waterfall model and spiral model.,Analyze,Conceptual,Software Processes
Q003,What is Agility ? Describe Extreme programming process ?,Understand,Procedural,Software Processes
Q004,What do you understand by process maturity ?,Understand,Factual,Software Processes
Q005,Prepare software requirement specification (SRS) for course management system.,Create,Conceptual,Requirements Engineering
Q006,"(b) Draw DFD (Level 0, 1 and 2) for course management system, and explain.",Apply,Procedural,Software Design
Q007,Which life cycle model would you follow for developing following project and why? (i) Library Management System (ii) Web Applications,Evaluate,Procedural,Software Processes
Q008,(b) List three common types of risks that a typical software project might suffer from. Give the RMMM plan for the same.,Apply,Conceptual,Software Design
Q009,4. (a) Describe the activities of project scheduling and tracking.,Understand,Conceptual,Software Project Management
Q010,(b) What is quality assurance ? Discuss various levels of quality assurance in software engineering,Understand,Conceptual,Software Project Management
Q011,(a) What is baseline in the content of software configuration management ? ,Remember,Factual,Tools and Environments
Q012,Describe how version control and change control are carried out during SCM?,Understand,Factual,Tools and Environments
Q013,(b) What are the main advantages of using an object-oriented approach to software design over a function oriented approach ?,Apply,Conceptual,Software Design
Q014,(a) Explain the user interface design process.,Understand,Procedural,Software Design
Q015,(b) Explain the term unit testing integration testing. Also compare top-down and bottom-up testing.,Evaluate,Procedural,Software Project Management
Q016,Write a short note on (a)Service-oriented software engineering (b) Reverse engineering (c) Empirical estimation techniques (d) Test driven development.,Understand,Conceptual,Software Project Management
Q017,Justify any five guidelines of metrics with respect to your project of choice. Explain it with suitable diagrams. Of above project of choice ? ,Evaluate,Procedural,Software Project Management
Q018,How would you reduce the maintenance cost of software and increase the re-usability ,Create,Procedural,Software Project Management
Q019,Design a RMMM plan for a database project. Explain the plan with atleast five risks and analyse the same.,Create,Procedural,Software Project Management
Q020,What is the importance of change control ? Explain it with configuration items and baselines. ,Understand,Conceptual,Tools and Environments
Q021,What are the different tasks of software configuration management ? ,Understand,Conceptual,Tools and Environments
Q022,Justify the requirement of object oriented software Engineering. Which tests play important role in object oriented context ? ,Evaluate,Procedural,Software Design
Q023,List and explain the fundamental concepts for software design.,Understand,Conceptual,Software Design
Q024,Which tests are carried out during verification and validation ? Explain in detail. ,Understand,Conceptual,Software Verification and Validation
Q025,Explain the different techniques of software requirement analysis. ,Understand,Conceptual,Requirements Engineering
Q026,Discuss the software project planning with the help of SRS. ,Apply,Conceptual,Requirements Engineering
Q027,List and explain the activities of version control. ,Understand,Procedural,Tools and Environments
Q028,Explain basis path testing and cyclometric complex with example and diagram.,Understand,Conceptual,Software Verification and Validation
Q029,Write short notes on (any two) :—(a) User interface design principles (b) Impirical estimation model (c) CMM. ,Understand,Conceptual,
Q030," A system is designed for evaluation of various tenders received by an 20 organization. It had various steps like data entry of bids, tabulation of bids, preparation of lowest bid document, entry of actual orders with actual prices negotiated, preparation of a 'deviation document' that will record all differences between lowest bid and actual orders. The entire system was built under text based UNIX and is being proposed to be changed to a GUI and windows based system. Draw data flow diagram (level 0, 1, 2, and control flow diagram describing all details. ",Create,Procedural,Software Design
Q031,Explain Software Configuration Management in detail. ,Understand,Conceptual,Tools and Environments
Q032,Compare and Contrast Coupling and Cohesion. ,Understand,Conceptual,Software Design
Q033,"Explain risk identification, risk projection, RMMM plan in detail.",Understand,Conceptual,Software Project Management
Q034,Explain how Ganntt-chart can be used for planning and controlling small Projects with suitable example? What are the limitations of Gantt-Chart ? ,Apply,Procedural,Software Design
Q035,Explain various steps involved in SRS for case study in question no. one. ,Understand,Procedural,Requirements Engineering
Q036,"What is feasibility study? Explain its types, contents and purpose.",Understand,Conceptual,Requirements Engineering
Q037,Explain the difference between (1) White Box and Black Box Testing (ii) Component Based Model and Spiral Model. ,Understand,Conceptual,
Q038,Describe project scheduling and tracking with any suitable example. ,Understand,Conceptual,Software Project Management
Q039,Explain in detail software project plan with case study in question no. one. ,Create,Procedural,Software Project Management
Q040,Write Short Notes on any two (a) CMM and Key Process Areas (b) Security engineering (c) Reengineering (d) Design Concepts and Principles . ,Understand,Conceptual,
Q041,Define Metrics. Describe process and project metrics.,Understand,Factual,Software Project Management
Q042,What is Agility ? Define the principal to achieve agility.,Remember,Conceptual,Software Processes
Q043,What is functional and non-functional requirement of SRS ?,Remember,Factual,Requirements Engineering
Q044,What are the advantages of test driven development ? ,Remember,Factual,Software Construction
Q045,Explain incremental process model with suitable example.,Understand,Conceptual,Software Processes
Q046,Explain change control in detail along with software configuratioin items and baseline,Understand,Conceptual,Tools and Environments
Q047,Explain different steps in requirement engineering.,Understand,Procedural,Requirements Engineering
Q048,Discuss and compare coupling and cohesion in brief. ,Understand,Conceptual,Software Design
Q049,What test is carried during validation and verification ? Explain with example.,Analyze,Conceptual,Software Verification and Validation
Q050, List and explain the fundamental concepts for software design.,Understand,Conceptual,Software Design
Q051,Explain different types of maintenance with suitable example.,Understand,Conceptual,Software Evolution
Q052,What is quality Assurance ? What are different parameters of Quality ?,Remember,Factual,Software Project Management
Q053,What are the risks associated with software projects ? How do project managers manage such risks ? ,Apply,Procedural,Software Project Management
Q054,List down and explain the activities of scheduling and tracking for Library management system. ,Apply,Procedural,Software Project Management
Q055,Write a short notes on any two : (a) Re-engineering. (b) Security Engineering. (c) White Box and Black Box Testing. (d) CMM and Key Process Areas. ,Understand,Conceptual,
Q056,Discuss incremental process model and evolutionary process model with reference to the suitability of the project.,Evaluate,Conceptual,Software Processes
Q057,Explain how size oriented metrics differs from function oriented metrics. Give example when each are recommended. ,Evaluate,Procedural,Software Project Management
Q058,Give software requirement specification (SRS) for developing a software for payroll management system.,Apply,Procedural,Requirements Engineering
Q059, Workout data flow diagram and control flow diagram in detail respect to payroll management system.,Apply,Procedural,Software Design
Q060,Explain the various levels of quality assurance in software Engineering with reference to different parameters of quality.,Analyze,Conceptual,Software Project Management
Q061,What is configuration audit? How change in managed in web applications? ,Understand,Procedural,Tools and Environments
Q062, Discuss and compare TDD (Test driven development) and DDT (design driven testing).,Analyze,Conceptual,Software Construction
Q063, What activities are carried out during FTR and status reporting and why? ,Understand,Conceptual,Software Verification and Validation
Q064,List down and explain the activities carried out during scheduling and tracking.,Understand,Conceptual,Software Project Management
Q065,Discuss the cases where change control and version control are required with its purposes. ,Apply,Factual,Tools and Environments
Q066,Compare the conventional approach and object oriented approach to software development with suitability.,Understand,Conceptual,Software Construction
Q067,What is requirement of risk analysis. What are the possible risks that may affect the scheduling? How you can overcome the same? ,Analyze,Procedural,Software Project Management
Q068,Write short noe on:—(a) SCRUM and CRYSTAL (b) Design concepts and principles (c) Coupling and cohesion (d) Gantt chart ,Understand,Conceptual,
Q069,What are the different tasks of Software Configuration Management (SCM) ? Discuss each in brief.,Understand,Conceptual,Tools and Environments
Q070,What do you understand by Quality Assurance ? Explain the Levels of Quality Assurance.,Understand,Conceptual,Software Project Management
Q071,"What is Feasibility Study ? Explain its type, contents and purpose. ",Understand,Factual,Requirements Engineering
Q072,What do you understand by metrics ? List and explain Process and Project metrics,Understand,Factual,Software Project Management
Q073,Compare and contrast coupling and cohesion.,Understand,Conceptual,Software Design
Q074,Explain the user interface Design Process.,Understand,Procedural,Software Design
Q075,Explain the difference between White Box and Black Box testing. ,Understand,Conceptual,Software Verification and Validation
Q076,What are the advantages of Object Oriented Software Engineering ?,Remember,Conceptual,Software Design
Q077,Give a Software Requirement Specification (SRS) for deyeloping a Software for Hospital Management System.,Create,Procedural,Requirements Engineering
Q078,Describe Project Scheduling and tracking with any suitable example.,Understand,Conceptual,Software Project Management
Q079,Expiain agile methodology using SCROM.  ,Apply,Conceptual,Software Processes
Q080,Explain requirement engineering.      ,Understand,Conceptual,Requirements Engineering
Q081,Write short notes on any four of the following :-   (a) Software Tools for Analysis  (b) Re-engineering (c) Architectural Styles  (d) Software Project Planning  (e) RAD and Spiral Models,Understand,Conceptual,
Q082,Enlist and explain the steps require to perform cost estimation using COCOMO model ? ,Understand,Procedural,Software Project Management
Q083,Give a Software Requirement Specification (SRS) for developing a software for Payroll Management System ,Create,Procedural,Requirements Engineering
Q084,Explain Software Configuration Management and Change Control Management in detail.,Understand,Conceptual,Tools and Environments
Q085,Explain CMM along with the Level and activities with each revel. ,Understand,Procedural,Software Reliability
Q086,Explain how Gantt-chart can be used for planning and controlling small projects with example ? What are the limitations of Gantt-chart ? ,Apply,Procedural,Software Design
Q087,"Explain risk identification, risk projection, RMMM plan in detail.",Understand,Conceptual,Software Project Management
Q088,What do you understand by Quality Assurance ? Explain the levels of Quality Assurance.,Understand,Conceptual,Software Project Management
Q089,Explain Basic path testing and Cyclomatic complexity in detail. ,Understand,Conceptual,Software Verification and Validation
Q090,Compare conventional approach and object oriented approach to software development ? What are the advantages of OOAD ?,Analyze,Conceptual,Software Construction
Q091,"What is feasible study ? Explain its types, contents and purpose. ",Understand,Conceptual,Requirements Engineering
Q092, Explain how project scheduling and tracking is done for a software development project ? ,Apply,Procedural,Software Project Management
Q093,Describe data flow and control flow diagram with suitable example. ,Understand,Procedural,Software Design
Q094,Distinguish between :—(a) White Box and Black Box Testing (b) Coupling and Cohesion (c) RAD and Spiral Model (d) FP Based and LCC Based Cost Estimation.,Understand,Conceptual,
Q095,Define Software Engineering. Explain the importance of Software Engineering.,Understand,Conceptual,Software Processes
Q096,Explain the incremental model with advantages and disadvantages.,Understand,Conceptual,Software Processes
Q097,What is software myth ? Give an example.,Understand,Factual,Software Processes
Q098,Explain the Extreme Programming Process.,Understand,Conceptual,Software Processes
Q099,Explain how component based development reduces the time of software development ?,Analyze,Procedural,Software Project Management
